schema,time,dataset,execution_layer,symbol,record_type,signal_time,scheduled_exit,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,fill_confirmed,atr_or_exit_reason
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,SELL,1.0333300000,0.0000000000,12,0.0000,0.02000000,45.72000000,1.0561900000,2,2,10009,NO,0.007617142857
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,SELL,1.2457600000,0.0000000000,14,0.0000,0.01000000,29.81000000,1.2755700000,3,3,10009,NO,0.009936428571
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,SELL,0.6231800000,0.0000000000,13,0.0000,0.03000000,43.47000000,0.6376700000,4,4,10009,NO,0.004827142857
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2025.01.06 10:05:01,V28_2025_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,SELL,0.5627200000,0.0000000000,16,0.0000,0.03000000,41.13000000,0.5764300000,5,5,10009,NO,0.004568571429
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2025.01.06 10:05:01,V28_2025_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,BUY,1.4388300000,0.0000000000,12,0.0000,0.02000000,35.33893121,1.4134100000,6,6,10009,NO,0.008470714286
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2025.01.06 10:05:01,V28_2025_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,BUY,0.9075000000,0.0000000000,14,0.0000,0.02000000,43.95023088,0.8875600000,7,7,10009,NO,0.006646428571
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2025.01.06 10:05:01,V28_2025_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,BUY,157.6410000000,0.0000000000,13,0.0000,0.01000000,25.50178893,153.6210000000,8,8,10009,NO,1.339857142857
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2025.01.06 10:05:01,V28_2025_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_TRANSACTION,NONE,2025.02.03 10:05:00,SELL,1.2457600000,1.2457800000,14,-2.0000,0.01000000,29.79000000,1.2755700000,3,3,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2025.01.06 10:05:01,V28_2025_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_TRANSACTION,NONE,2025.02.03 10:05:00,SELL,0.6231800000,0.6232300000,13,-5.0000,0.03000000,43.32000000,0.6376700000,4,4,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2025.01.06 10:05:01,V28_2025_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,ENTRY_TRANSACTION,NONE,2025.02.03 10:05:00,SELL,0.5627200000,0.5627500000,16,-3.0000,0.03000000,41.04000000,0.5764300000,5,5,10009,YES,0.000000000000
