schema,dataset,target,symbol,orientation,dollar_factor_return,factor_side,chart_direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.01.06 10:05:00,EURUSD,1,-0.031913691244,SHORT_FOREIGN_FACTOR,SELL,2025.01.06 09:00:00,1.0326700000,2024.12.02 09:00:00,1.0502200000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.01.06 10:05:00,GBPUSD,1,-0.031913691244,SHORT_FOREIGN_FACTOR,SELL,2025.01.06 09:00:00,1.2451900000,2024.12.02 09:00:00,1.2682200000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.01.06 10:05:00,AUDUSD,1,-0.031913691244,SHORT_FOREIGN_FACTOR,SELL,2025.01.06 09:00:00,0.6230100000,2024.12.02 09:00:00,0.6496000000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.01.06 10:05:00,NZDUSD,1,-0.031913691244,SHORT_FOREIGN_FACTOR,SELL,2025.01.06 09:00:00,0.5625700000,2024.12.02 09:00:00,0.5900800000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.01.06 10:05:00,USDCAD,-1,-0.031913691244,SHORT_FOREIGN_FACTOR,BUY,2025.01.06 09:00:00,1.4389500000,2024.12.02 09:00:00,1.4040400000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.01.06 10:05:00,USDCHF,-1,-0.031913691244,SHORT_FOREIGN_FACTOR,BUY,2025.01.06 09:00:00,0.9080700000,2024.12.02 09:00:00,0.8848000000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.01.06 10:05:00,USDJPY,-1,-0.031913691244,SHORT_FOREIGN_FACTOR,BUY,2025.01.06 09:00:00,157.6570000000,2024.12.02 09:00:00,150.2440000000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.02.03 10:05:00,EURUSD,1,-0.010490224220,SHORT_FOREIGN_FACTOR,SELL,2025.02.03 09:00:00,1.0224200000,2025.01.06 09:00:00,1.0326700000,2025.03.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.02.03 10:05:00,GBPUSD,1,-0.010490224220,SHORT_FOREIGN_FACTOR,SELL,2025.02.03 09:00:00,1.2283400000,2025.01.06 09:00:00,1.2451900000,2025.03.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.02.03 10:05:00,AUDUSD,1,-0.010490224220,SHORT_FOREIGN_FACTOR,SELL,2025.02.03 09:00:00,0.6134300000,2025.01.06 09:00:00,0.6230100000,2025.03.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.02.03 10:05:00,NZDUSD,1,-0.010490224220,SHORT_FOREIGN_FACTOR,SELL,2025.02.03 09:00:00,0.5551200000,2025.01.06 09:00:00,0.5625700000,2025.03.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.02.03 10:05:00,USDCAD,-1,-0.010490224220,SHORT_FOREIGN_FACTOR,BUY,2025.02.03 09:00:00,1.4716500000,2025.01.06 09:00:00,1.4389500000,2025.03.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.02.03 10:05:00,USDCHF,-1,-0.010490224220,SHORT_FOREIGN_FACTOR,BUY,2025.02.03 09:00:00,0.9186200000,2025.01.06 09:00:00,0.9080700000,2025.03.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.02.03 10:05:00,USDJPY,-1,-0.010490224220,SHORT_FOREIGN_FACTOR,BUY,2025.02.03 09:00:00,155.6180000000,2025.01.06 09:00:00,157.6570000000,2025.03.03 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.03.03 10:05:00,EURUSD,1,0.019840716326,LONG_FOREIGN_FACTOR,BUY,2025.03.03 09:00:00,1.0405500000,2025.02.03 09:00:00,1.0224200000,2025.04.07 10:05:00
SOLTRADE_PHASE6_V28_SIGNAL_V1,V28_FXIFY_CONTINUOUS,2025.03.03 10:05:00,GBPUSD,1,0.019840716326,LONG_FOREIGN_FACTOR,BUY,2025.03.03 09:00:00,1.2600700000,2025.02.03 09:00:00,1.2283400000,2025.04.07 10:05:00
