deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.01.20 18:05:00,1737396300207,0,0,3,0.05000000,1.0400900000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
3,3,2,2025.01.20 19:25:05,1737401105973,1,1,4,0.05000000,1.0355500000,-22.70000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,sl 1.03562,YES
4,4,4,2025.01.21 18:05:00,1737482700316,0,0,3,0.05000000,1.0403200000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
5,5,4,2025.01.21 22:05:00,1737497100315,1,1,3,0.05000000,1.0416300000,6.55000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
6,6,6,2025.01.22 18:05:00,1737569100231,0,0,3,0.07000000,1.0419900000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
7,7,6,2025.01.22 22:05:00,1737583500224,1,1,3,0.07000000,1.0419700000,-0.14000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
8,8,8,2025.01.23 18:05:00,1737655500213,0,0,3,0.09000000,1.0398900000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
9,9,8,2025.01.23 18:12:12,1737655932407,1,1,4,0.09000000,1.0372700000,-23.58000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,sl 1.03729,YES
10,10,10,2025.01.24 18:05:00,1737741900230,0,0,3,0.06000000,1.0516600000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
11,11,10,2025.01.24 22:05:00,1737756300317,1,1,3,0.06000000,1.0491300000,-15.18000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
12,12,12,2025.01.27 18:05:00,1738001100214,0,0,3,0.07000000,1.0502800000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
13,13,12,2025.01.27 22:05:00,1738015500417,1,1,3,0.07000000,1.0488500000,-10.01000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
14,14,14,2025.01.28 18:05:00,1738087500332,0,0,3,0.08000000,1.0427900000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
15,15,14,2025.01.28 22:05:00,1738101900221,1,1,3,0.08000000,1.0430400000,2.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
16,16,16,2025.01.29 18:05:00,1738173900835,0,0,3,0.08000000,1.0422500000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
17,17,16,2025.01.29 21:05:53,1738184753038,1,1,4,0.08000000,1.0393400000,-23.28000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,sl 1.03935,YES
18,18,18,2025.01.30 18:05:00,1738260300244,0,0,3,0.06000000,1.0428700000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
19,19,18,2025.01.30 22:05:02,1738274702237,1,1,3,0.06000000,1.0427100000,-0.96000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
20,20,20,2025.01.31 18:05:00,1738346700760,0,0,3,0.07000000,1.0393900000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
21,21,20,2025.01.31 22:05:00,1738361100239,1,1,3,0.07000000,1.0371300000,-15.82000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
22,22,22,2025.02.03 18:05:35,1738605935814,0,0,3,0.04000000,1.0313200000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
23,23,22,2025.02.03 22:05:00,1738620300226,1,1,3,0.04000000,1.0286800000,-10.56000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
24,24,24,2025.02.04 18:05:00,1738692300312,0,0,3,0.05000000,1.0383400000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
25,25,24,2025.02.04 22:05:01,1738706701811,1,1,3,0.05000000,1.0380700000,-1.35000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
