schema,time,dataset,execution_layer,canonical_symbol,resolved_symbol,record_type,signal_time,scheduled_exit,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,fill_confirmed,atr_or_exit_reason
SOLTRADE_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EURUSD,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,SELL,1.0333300000,0.0000000000,12,0.0000,0.02000000,45.72000000,1.0561900000,2,2,10009,NO,0.007617142857
SOLTRADE_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,GBPUSD,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,SELL,1.2457600000,0.0000000000,14,0.0000,0.01000000,29.81000000,1.2755700000,3,3,10009,NO,0.009936428571
SOLTRADE_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,AUDUSD,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,SELL,0.6231800000,0.0000000000,13,0.0000,0.03000000,43.47000000,0.6376700000,4,4,10009,NO,0.004827142857
SOLTRADE_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,NZDUSD,NZDUSD,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,SELL,0.5627200000,0.0000000000,16,0.0000,0.03000000,41.13000000,0.5764300000,5,5,10009,NO,0.004568571429
SOLTRADE_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,USDCAD,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,BUY,1.4388300000,0.0000000000,12,0.0000,0.02000000,35.33721181,1.4134100000,6,6,10009,NO,0.008470714286
SOLTRADE_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,USDCHF,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,BUY,0.9075000000,0.0000000000,14,0.0000,0.02000000,43.95168401,0.8875600000,7,7,10009,NO,0.006646428571
SOLTRADE_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,USDJPY,ENTRY_ATTEMPT,2025.01.06 10:05:00,2025.02.03 10:05:00,BUY,157.6410000000,0.0000000000,13,0.0000,0.01000000,25.50308321,153.6210000000,8,8,10009,NO,1.339857142857
SOLTRADE_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,GBPUSD,ENTRY_TRANSACTION,NONE,2025.02.03 10:05:00,SELL,1.2457600000,1.2457600000,14,0.0000,0.01000000,29.81000000,1.2755700000,3,3,10009,YES,0.000000000000
SOLTRADE_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,AUDUSD,ENTRY_TRANSACTION,NONE,2025.02.03 10:05:00,SELL,0.6231800000,0.6231800000,13,0.0000,0.03000000,43.47000000,0.6376700000,4,4,10009,YES,0.000000000000
SOLTRADE_V28_TRANSACTION_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,NZDUSD,NZDUSD,ENTRY_TRANSACTION,NONE,2025.02.03 10:05:00,SELL,0.5627200000,0.5627200000,16,0.0000,0.03000000,41.13000000,0.5764300000,5,5,10009,YES,0.000000000000
