deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2026.01.19 02:05:00,1768788300257,0,0,3,0.02000000,1.3396600000,0.00000000,0.00000000,0.00000000,0.00000000,2708202602,GBPUSD,SolTrade TBV1,YES
3,3,2,2026.01.23 23:55:00,1769212500553,1,1,3,0.02000000,1.3642300000,49.14000000,0.00000000,-0.31000000,0.00000000,2708202602,GBPUSD,SolTrade TBV1 exit,YES
4,4,4,2026.01.26 02:05:00,1769393100698,0,1,3,0.02000000,1.1852700000,0.00000000,0.00000000,0.00000000,0.00000000,2708202601,EURUSD,SolTrade TBV1,YES
5,5,5,2026.01.26 02:05:00,1769393100698,0,1,3,0.03000000,0.6907800000,0.00000000,0.00000000,0.00000000,0.00000000,2708202603,AUDUSD,SolTrade TBV1,YES
6,6,6,2026.01.26 02:05:00,1769393100698,0,0,3,0.02000000,0.7785200000,0.00000000,0.00000000,0.00000000,0.00000000,2708202606,USDCHF,SolTrade TBV1,YES
7,7,7,2026.01.26 02:05:00,1769393100698,0,0,3,0.02000000,155.1530000000,0.00000000,0.00000000,0.00000000,0.00000000,2708202607,USDJPY,SolTrade TBV1,YES
8,8,4,2026.01.27 22:48:09,1769554089795,1,0,4,0.02000000,1.2043400000,-38.14000000,0.00000000,0.09000000,0.00000000,2708202601,EURUSD,sl 1.20421,YES
9,9,5,2026.01.29 05:08:01,1769663281623,1,0,4,0.03000000,0.7056100000,-44.49000000,0.00000000,-0.09000000,0.00000000,2708202603,AUDUSD,sl 0.70561,YES
10,10,6,2026.01.30 23:55:00,1769817300218,1,1,3,0.02000000,0.7728900000,-14.57000000,0.00000000,0.94000000,0.00000000,2708202606,USDCHF,SolTrade TBV1 exit,YES
11,11,7,2026.01.30 23:55:00,1769817300218,1,1,3,0.02000000,154.7580000000,-5.10000000,0.00000000,0.74000000,0.00000000,2708202607,USDJPY,SolTrade TBV1 exit,YES
12,12,12,2026.02.09 02:08:31,1770602911081,0,0,3,0.01000000,0.7757500000,0.00000000,0.00000000,0.00000000,0.00000000,2708202606,USDCHF,SolTrade TBV1,YES
13,13,13,2026.02.09 02:08:31,1770602911081,0,1,3,0.01000000,156.9300000000,0.00000000,0.00000000,0.00000000,0.00000000,2708202607,USDJPY,SolTrade TBV1,YES
14,14,12,2026.02.13 23:55:00,1771026900222,1,1,3,0.01000000,0.7675200000,-10.72000000,0.00000000,0.47000000,0.00000000,2708202606,USDCHF,SolTrade TBV1 exit,YES
15,15,13,2026.02.13 23:55:00,1771026900222,1,0,3,0.01000000,152.7270000000,27.52000000,0.00000000,-0.73000000,0.00000000,2708202607,USDJPY,SolTrade TBV1 exit,YES
16,16,16,2026.03.02 02:05:00,1772417100558,0,0,3,0.03000000,1.1760500000,0.00000000,0.00000000,0.00000000,0.00000000,2708202601,EURUSD,SolTrade TBV1,YES
17,17,17,2026.03.02 02:05:00,1772417100558,0,0,3,0.02000000,1.3403300000,0.00000000,0.00000000,0.00000000,0.00000000,2708202602,GBPUSD,SolTrade TBV1,YES
18,18,18,2026.03.02 02:05:00,1772417100558,0,0,3,0.02000000,0.7057100000,0.00000000,0.00000000,0.00000000,0.00000000,2708202603,AUDUSD,SolTrade TBV1,YES
19,19,19,2026.03.02 02:05:00,1772417100558,0,0,3,0.03000000,0.5952700000,0.00000000,0.00000000,0.00000000,0.00000000,2708202604,NZDUSD,SolTrade TBV1,YES
